"Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"Gumrah","1993","Not Rated","03 Aug 1993","149 min","Action, Crime, Drama, Thriller","Mahesh Bhatt","Robin Bhatt (dialogue), Robin Bhatt, Sujit Sen","Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy","Roshni Chadha is the only child of Sharda Chhadha, and has no knowledge of the whereabouts of her absconding dad, Prakash Chhadha. Roshni is introduced to Rahul Malhotra and both are ...","Hindi","India","1 nomination.","https://m.media-amazon.com/images/M/MV5BYWE4MWNiYzYtYzI5MS00MjRiLThiNjItYzdiODRlZDY2ZGFiXkEyXkFqcGdeQXVyOTI1NzYyOTE@._V1_SX300.jpg","N/A","6.4","521","tt0107060","movie","21 Dec 1999","N/A","N/A","N/A","True",NULL
"Friendship","2008","Not Rated","14 Nov 2008","145 min","Comedy, Drama, Romance","Tarun Mansukhani","Anvita Dutt (dialogue script), Tarun Mansukhani (first story)","Abhishek Bachchan, John Abraham, Priyanka Chopra, Kiron Kher","Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart.","Hindi, English","India, USA","3 wins & 10 nominations.","https://m.media-amazon.com/images/M/MV5BOTE0NDU1ZTctYjRjYS00OTEyLTkzOWQtNmRiNDg5ZDU1ODBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","N/A","6.5","13,183","tt1185420","movie","N/A","N/A","N/A","N/A","True",NULL
"Duplicate","1998","Not Rated","08 May 1998","164 min","Action, Comedy, Crime, Thriller","Mahesh Bhatt","Robin Bhatt, Akash Khurana, Javed Siddiqui","Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Kajol","In order to evade the law, a ruthless don tries to kill his lookalike; a chef and tries to take his place.","Hindi","India","3 nominations.","https://m.media-amazon.com/images/M/MV5BYzkyZGRkYjEtZGJlNS00YzQ4LWJiNWYtMThhM2VlMWJmMzRiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg","N/A","5.5","6,627","tt0164550","movie","15 Dec 1998","N/A","N/A","N/A","True",NULL
"Amit Tandon: Family Tandoncies","2019","N/A","09 Dec 2019","72 min","Comedy","N/A","N/A","Amit Tandon","N/A","N/A","India","N/A","https://m.media-amazon.com/images/M/MV5BZDdkZjVlODgtZjMxMC00MWFhLTk0M2UtMWNiNGI4ZGY1OTdhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","N/A","7.1","137","tt11262978","movie","N/A","N/A","N/A","N/A","True",NULL
"Agneepath","1990","Not Rated","16 Feb 1990","174 min","Action, Crime, Drama","Mukul Anand","H. Banerjee (Subtitles), Kader Khan (dialogue), Santosh Saroj (screenplay), Santosh Saroj (story)","Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari","A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?","Hindi","India","3 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BOGIyNGNhN2EtYTZiNC00MDJjLWI2M2ItZjA1MTBlYmNiODNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg","N/A","7.7","7,787","tt0098999","movie","21 Mar 2000","N/A","N/A","N/A","True",NULL
"Muqaddar Ka Faisla","1987","Not Rated","26 Jun 1987","171 min","Drama, Family","Prakash Mehra","Laxmikant Sharma (story), Prakash Mehra (screenplay), Laxmikant Sharma (screenplay), Kader Khan (dialogue)","Raaj Kumar, Rakhee Gulzar, Raj Babbar, Tina Ambani","An honest Hindu pandit (priest) is framed for embezzlement and rape, and not only dismissed from employment, but also arrested and imprisoned, leaving behind his family in destitution. On ...","Hindi","India","N/A","https://m.media-amazon.com/images/M/MV5BYzQ3ZmM5YTEtYzI5NC00ZTZhLWE3ZTEtOThjMDc4MWZjZjY0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg","N/A","6.2","24","tt0239682","movie","13 Sep 2005","N/A","N/A","N/A","True",NULL
"When Marnie Was There","2014","PG","19 Jul 2014","103 min","Animation, Drama, Family, Mystery","James Simone, Hiromasa Yonebayashi","Joan G. Robinson (based on the novel by), Keiko Niwa (screenplay by), Masashi Ando (screenplay by), Hiromasa Yonebayashi (screenplay by), David Freedman (screenplay adaptation by: English)","Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima","Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.","Japanese","Japan","Nominated for 1 Oscar. Another 4 wins & 17 nominations.","https://m.media-amazon.com/images/M/MV5BYTkyMTNmY2EtOTZmYi00YWU4LTgxN2UtZWU0NTI0OGFkMWRjXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg","72","7.7","26,941","tt3398268","movie","06 Oct 2015","$463,187","GKIDS","N/A","True",NULL
"Whisper of the Heart","1995","G","13 Dec 1996","111 min","Animation, Drama, Family, Music, Romance","Yoshifumi Kondô","Hayao Miyazaki (screenplay), Aoi Hiiragi (comic), Cindy Davis (screenplay: English version), Donald H. Hewitt (screenplay: English version)","Yoko Honna, Issey Takahashi, Takashi Tachibana, Shigeru Muroi","A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.","Japanese, English","Japan","N/A","https://m.media-amazon.com/images/M/MV5BNmQ3N2U5NGMtNjU0MS00YTQzLWE1ZDctZDU5M2M5NTNjOGRmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","75","8.0","43,204","tt0113824","movie","07 Mar 2006","N/A","Optimum Releasing","N/A","True",NULL
"Pom Poko","1994","PG","25 Dec 1995","119 min","Animation, Comedy, Drama, Family, Fantasy","Isao Takahata","Hayao Miyazaki (idea), Isao Takahata","Shinchô Kokontei, Makoto Nonomura, Yuriko Ishida, Norihei Miki","A community of magical shape-shifting raccoon dogs struggle to prevent their forest home from being destroyed by urban development.","Japanese","Japan","3 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BODFjMjMyNjktNzc1ZS00NzMwLWJhMDgtNDk0OWNhNTkxNjMzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","77","7.3","21,219","tt0110008","movie","16 Aug 2005","N/A","N/A","N/A","True",NULL
"Howl's Moving Castle","2004","PG","17 Jun 2005","119 min","Animation, Adventure, Family, Fantasy","Hayao Miyazaki","Hayao Miyazaki (screenplay), Diana Wynne Jones (novel)","Chieko Baishô, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Japanese","Japan","Nominated for 1 Oscar. Another 14 wins & 19 nominations.","https://m.media-amazon.com/images/M/MV5BZTRhY2QwM2UtNWRlNy00ZWQwLTg3MjktZThmNjQ3NTdjN2IxXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg","80","8.2","299,775","tt0347149","movie","07 Mar 2006","$4,520,887","Buena Vista","N/A","True",NULL
"From Up on Poppy Hill","2011","PG","16 Jul 2011","91 min","Animation, Drama, Family, Romance","Gorô Miyazaki","Tetsurô Sayama (original story), Hayao Miyazaki (screenplay), Keiko Niwa (screenplay), Patrick Mullen (Additional Dialogue,  English Language Adaptation), Chizuru Takahashi (comic), Tetsurô Sayama (comic)","Masami Nagasawa, Jun'ichi Okada, Keiko Takeshita, Yuriko Ishida","A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.","Japanese","Japan","6 wins & 11 nominations.","https://m.media-amazon.com/images/M/MV5BZmFjMTYwODAtMTUzZi00NWUzLWIzMjUtYTNiZTE2MzNlMjNiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","71","7.4","29,657","tt1798188","movie","03 Sep 2013","$696,519","Independent Pictures","N/A","True",NULL
"The Insult","2017","R","25 Jun 2019","113 min","Crime, Drama, Thriller","Ziad Doueiri","Ziad Doueiri, Joelle Touma","Adel Karam, Kamel El Basha, Camille Salameh, Diamand Bou Abboud","After an emotional exchange between a Lebanese Christian and a Palestinian refugee escalates, the men end up in a court case that gets national attention.","Arabic","France, Cyprus, Belgium, Lebanon, USA","Nominated for 1 Oscar. Another 17 wins & 14 nominations.","https://m.media-amazon.com/images/M/MV5BZTI1NGM1YjgtZjgzNS00MmYxLWIyYmYtOTUwNjA0YmYyN2E5XkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_SX300.jpg","72","7.7","12,742","tt7048622","movie","N/A","N/A","N/A","N/A","True",NULL
"Paharganj","2019","N/A","12 Apr 2019","108 min","Crime, Drama, Mystery","Rakesh Ranjan Kumar","Rakesh Ranjan Kumar, Hanuman Prasad Rai, Dheeraj Virmani","Lorena Franco, Bijesh Jayarajan, Neet Chowdhary, Rajeev Gaursingh","Coming from the streets of Paharganj, the movie depicts a woman's search for her lost love, a man's attempt to regain his lost enigma and dealing with his brother's untimely death, an unexpected political murder, and raging gang war.","Hindi","India","N/A","https://m.media-amazon.com/images/M/MV5BNjA0ZWExZDEtY2MzNi00NDE2LThlZDUtZDAxNmMxM2MyNTBjXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg","N/A","6.9","962","tt7624840","movie","N/A","N/A","N/A","N/A","True",NULL
"There's Something in the Water","2019","N/A","08 Sep 2019","73 min","Documentary","Ian Daniel, Ellen Page","N/A","Ian Daniel, Ellen Page","The injustices and injuries caused by environmental racism in her home province, in this urgent documentary on Indigenous and African Nova Scotian women fighting to protect their communities, their land, and their futures.","English","Canada","N/A","https://m.media-amazon.com/images/M/MV5BOWRlZmU1ZjEtY2VmMC00NDlkLWE1NmEtMTZkZTBiNDBmNzE2XkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_SX300.jpg","N/A","6.5","15","tt10864040","movie","N/A","N/A","N/A","N/A","True",NULL
"Trixie Mattel: Moving Parts","2019","N/A","25 Apr 2019","91 min","Documentary","Nicholas Zeig-Owens","Nicholas Zeig-Owens","Brian Firkus, Reuben Asberry Jr., Willam Belli, Braden Davis","Trixie charmed audiences and judges as winner of RuPaul's Drag Race All Stars. But the grind of performing and the pressure of the title proves that heavy is the head that wears the tiara.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BOWJjZWJhYjAtNDc2YS00N2M1LWJlZjQtMjdkZjMwNjRlNTJmXkEyXkFqcGdeQXVyNzE5NjM3ODE@._V1_SX300.jpg","N/A","7.3","339","tt10011508","movie","N/A","N/A","Cinetic Media","N/A","True",NULL
"Happy Old Year","2019","N/A","26 Dec 2019","N/A","N/A","Nawapol Thamrongrattanarit","Nawapol Thamrongrattanarit","Chutimon Chuengcharoensukying, Sunny Suwanmethanont, Sarika Sathsilpsupa, Apasiri Nitibhon","N/A","Thai","Thailand","N/A","https://m.media-amazon.com/images/M/MV5BOTVlMWFlZWUtZTM0ZC00MTE0LWE5ZjAtNGIzMTNjNTZiODcxXkEyXkFqcGdeQXVyNTk1NTkxMDI@._V1_SX300.jpg","N/A","N/A","N/A","tt11316824","movie","N/A","N/A","N/A","N/A","True",NULL
"The Rodriguez and the Beyond","2019","N/A","31 Oct 2019","116 min","Adventure, Comedy, Family","Paco Arango","Paco Arango","Edu Soto, Mariana Treviño, Rodrigo Simón, Sara Jiménez","The father turns on as a light bulb, the older daughter has super-strength, the younger daughter is capable to be invisible, the grandmother floats and the son is super-intelligent. Definitely this family is from another world.","Catalan, English, Spanish","Mexico, Spain","N/A","https://m.media-amazon.com/images/M/MV5BODI2YzU2ZTYtYzA0NC00MjVhLTg1OWQtODAxNmE5MzNlMzEzXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg","N/A","4.1","126","tt7543538","movie","N/A","N/A","N/A","N/A","True",NULL
"The Platform","2019","TV-MA","20 Mar 2020","94 min","Horror, Sci-Fi, Thriller","Galder Gaztelu-Urrutia","David Desola (screenplay by), David Desola (story by), Pedro Rivero (screenplay by)","Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale","A vertical prison with one cell per level. Two people per cell. One only food platform and two minutes per day to feed from up to down. An endless nightmare trapped in The Hole.","Spanish","Spain","9 wins & 14 nominations.","https://m.media-amazon.com/images/M/MV5BOTMyYTIyM2MtNjQ2ZC00MWFkLThhYjQtMjhjMGZiMjgwYjM2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg","73","7.0","97,595","tt8228288","movie","N/A","N/A","N/A","N/A","True",NULL
"Dare Me","2019–","TV-MA","19 Dec 2019","42 min","Crime, Mystery, Thriller","N/A","Megan Abbott, Gina Fattore","Willa Fitzgerald, Herizen F. Guardiola, Marlo Kelly, Rob Heaps","A cheerleader in her senior year of high school plots revenge against the clique that expelled her.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYWQ3OWM0MjgtODRkMy00NTUwLWI0YTEtOGZhNTJhMzE0NGEwXkEyXkFqcGdeQXVyMjIwNTI1MTM@._V1_SX300.jpg","N/A","6.5","1,279","tt2983222","series",NULL,NULL,NULL,NULL,"True","1"
"El silencio es bienvenido","2017","N/A","01 Mar 2017","95 min","Drama","Gabriela García Rivas","Gabriela García Rivas","Roberto Fiesco, Tenoch Huerta, Enrique Medina, Jorge Luis Moreno","N/A","Spanish","Mexico","N/A","https://m.media-amazon.com/images/M/MV5BNTRlMjA2MDItNDdiMS00YjA0LWJkZmMtZWJiODEwMzI3YzIwXkEyXkFqcGdeQXVyMDgyNDI1OA@@._V1_SX300.jpg","N/A","N/A","N/A","tt6436212","movie","N/A","N/A","N/A","N/A","True",NULL
"Women of the Night","2019–","N/A","10 Nov 2019","N/A","Crime, Drama","N/A","Ian Ginn, Maarten Almekinders","Karina Smulders, Susan Radder, Matteo van der Grijn, Hilde Van Mieghem","N/A","Dutch","Netherlands","N/A","https://m.media-amazon.com/images/M/MV5BODIyYWZjOTctMDZmZS00NDdlLWJlMzgtNDgzZWRkNGE0YTBkXkEyXkFqcGdeQXVyNTIyODgzMQ@@._V1_SX300.jpg","N/A","7.0","63","tt7785420","series",NULL,NULL,NULL,NULL,"True","1"
"Baby Mamas","2018","N/A","12 Oct 2018","93 min","Comedy","Stephina Zwane","Ricardo Arendse, Stephina Zwane","Jonathan Boynton-Lee, Sthembiso Khoza, Thembisa Mdoda, Salamina Mosese","'Baby Mamas' is a comedy drama revolving around the daily lives and loves of four professional women who are all in different stages of their own real-life baby mama drama. We meet TOLI, ...","English","South Africa","N/A","https://m.media-amazon.com/images/M/MV5BODI0ODg1MGQtYzI4Ny00ZDc1LTkwYWQtMWQxMjdjYzQwYzI0XkEyXkFqcGdeQXVyNjc0MTI3ODc@._V1_SX300.jpg","N/A","7.5","8","tt8686460","movie","N/A","N/A","N/A","N/A","True",NULL
"Miracle in Cell No. 7","2019","G","17 Jan 2020","120 min","Drama","Nuel C. Naval","Mel Mendoza-Del Rosario (screenplay)","Aga Muhlach, Bela Padilla, Xia Vigor, Joel Torre","A man who is charged with sexual assault, kidnapping and murder goes to jail. Years after, his daughter becomes a lawyer and wants to prove her father's innocence.","Tagalog, Filipino","Philippines","4 nominations.","https://m.media-amazon.com/images/M/MV5BODM0OTIxMjAtZDIyMS00NWJmLWIxYTAtN2U4NzIxMWQwMTdkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg","N/A","6.9","115","tt10845262","movie","N/A","N/A","N/A","N/A","True",NULL
"White Boy (The Perry Klein Story)","2017","N/A","N/A","N/A","Drama","N/A","Zack DiLiberto, Francine Martin","N/A","The story of Perry Klein, a gifted high school quarterback, and his struggle to gain recognition and respect as the only white kid on an predominantly African American team.","N/A","USA","N/A","N/A","N/A","N/A","N/A","tt5813910","movie","N/A","N/A","N/A","N/A","True",NULL
"Q Ball","2019","N/A","17 May 2019","96 min","Documentary","Michael Tolajian","Michael Tolajian","Anthony Ammons, Lenny Costa, Rafael Cuevas, Tevin Fournette","Documentary that explores the San Quentin Prison basketball squad - teammates and inmates at ""the Q"" - along their journey of rehabilitation and possible redemption.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BZTgyN2Q1YzMtMWVjZC00NmZmLTgxYjQtYzk0Y2MxYzZjNzJiXkEyXkFqcGdeQXVyMjA1Mzg0Ng@@._V1_SX300.jpg","69","6.6","54","tt10254986","movie","N/A","N/A","N/A","N/A","True",NULL
"Miles Davis: Birth of the Cool","2019","Not Rated","23 Aug 2019","115 min","Documentary, Biography, Music","Stanley Nelson","N/A","Carl Lumbly, Miles Davis, Reginald Petty, Quincy Troupe","Miles Davis: Horn player, bandleader, innovator. This documentary feature explores archival photos and home movies shot by Miles and his colleagues, his manuscripts and Miles' original paintings, to explore the man behind the music.","English","USA","1 win & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMTgxNzgwNTI3N15BMl5BanBnXkFtZTgwNDg1ODAyNzM@._V1_SX300.jpg","76","7.4","1,463","tt9358200","movie","10 Apr 2020","N/A","Abramorama","N/A","True",NULL
"All About Love","2017","N/A","21 Apr 2017","90 min","N/A","Elvis Chuks","Kingsley Okolie","Chris Attoh, Katlego Danke, Nomzamo Mbatha, Zenande Mfenyane","N/A","English","South Africa","N/A","N/A","N/A","N/A","N/A","tt7324726","movie","N/A","N/A","N/A","N/A","True",NULL
"Uncovered","2019","N/A","16 Feb 2019","N/A","Short, Drama","Esther Caporale","Esther Caporale","Esther Caporale, Jacob Parrish","Jenny Shaw witnesses an event taking place outside her window and is convinced that a crime is taking place. She calls 911, but gets a strong dose of reality when she realizes how wrong her assumption was.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BNjYxYzFkOWMtNDY4My00ZTBlLWE1NmItZmMyYTYxNDY0N2NhXkEyXkFqcGdeQXVyMjYzOTg0MzE@._V1_SX300.jpg","N/A","N/A","N/A","tt8889472","movie","N/A","N/A","N/A","N/A","True",NULL
"The Death of Mr. Lazarescu","2005","R","22 Sep 2005","153 min","Drama","Cristi Puiu","Cristi Puiu, Razvan Radulescu","Doru Ana, Monica Barladeanu, Alina Berzunteanu, Dorian Boguta","Mr. Lãzãrescu, a dying old man, is shuttled from hospital to hospital by a loyal paramedic as doctors refuse to operate and no one can agree on a diagnosis.","Romanian","Romania","29 wins & 14 nominations.","https://m.media-amazon.com/images/M/MV5BMTcxNDk3MTQ3OF5BMl5BanBnXkFtZTcwODgwODczMQ@@._V1_SX300.jpg","86","8.0","12,032","tt0456149","movie","12 Sep 2006","N/A","Tartan Films","N/A","True",NULL
"Aurora","2010","Not Rated","29 Jun 2011","181 min","Drama","Cristi Puiu","Cristi Puiu","Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu","Viorel a 42 year old man troubled by obscure thoughts drives across the city to a destination known only to him.","Romanian","Romania, France, Switzerland, Germany","7 wins & 8 nominations.","https://m.media-amazon.com/images/M/MV5BMjIyNTQzMDY4MV5BMl5BanBnXkFtZTcwNTI5MjU1Mw@@._V1_SX300.jpg","63","6.7","1,480","tt1403047","movie","10 Jan 2012","$5,558","Cinema Guild","N/A","True",NULL
"Outlaws","2017","R","01 Feb 2019","92 min","Crime, Drama, Thriller","Stephen McCallum","Matt Nable (screenplay by)","Ryan Corr, Abbey Lee, Simone Kessell, Josh McConville","1% is set within the primal underworld of outlaw motorcycle club gangs. It follows the heir to the throne of a motorcycle club who has to betray his president to save his brother's life.","English","Australia","7 nominations.","https://m.media-amazon.com/images/M/MV5BYzFkYzE5MWMtMjQ3Ni00MWQ5LTkxYTAtZTk2YzI1M2JmNDg5XkEyXkFqcGdeQXVyMjkyNzYwMTc@._V1_SX300.jpg","24","5.4","647","tt6301712","movie","N/A","N/A","N/A","N/A","True",NULL
"Pop, Lock 'n Roll","2017","N/A","29 Sep 2017","N/A","Music","Ziggy Hofmeyr","Ziggy Hofmeyr, Steven Pillemer, Steven Pillemer (screenplay)","Maurice Paige, Eric Uys, Lionel Newton, Yasira Bhelz","Raps is an ambitious street style, hip hop dancer from a poor neighborhood who believes that money is everything. He gets a lucky break and rises as a professional entertainer, but when he ...","English","South Africa","N/A","https://m.media-amazon.com/images/M/MV5BNDExNTA2NDAtYmU2OC00ZDk2LTljNmQtMjU0Nzc3MzZhMmZlXkEyXkFqcGdeQXVyNTkxNzI5MzE@._V1_SX300.jpg","N/A","N/A","N/A","tt2336014","movie","N/A","N/A","N/A","N/A","True",NULL
